airline,source_city,destination_city,departure_time,arrival_time,stops,class,days_before_departure,duration_hours,fare_inr
Air India,Hyderabad,Goa,Early Morning (00-06),Early Morning (00-06),1 stop,Economy,51,3.1,6475
Air India,Ahmedabad,Delhi,Morning (06-12),Morning (06-12),1 stop,Economy,69,2.9,7219
GoFirst,Bangalore,Goa,Afternoon (12-18),Afternoon (12-18),non-stop,Economy,4,1.0,4790
SpiceJet,Mumbai,Hyderabad,Afternoon (12-18),Afternoon (12-18),1 stop,Economy,42,2.9,4882
Air India,Mumbai,Delhi,Morning (06-12),Morning (06-12),1 stop,Economy,47,3.4,8369
AirAsia India,Delhi,Chennai,Early Morning (00-06),Early Morning (00-06),non-stop,Economy,52,1.3,4302
AirAsia India,Goa,Pune,Morning (06-12),Morning (06-12),1 stop,Economy,56,3.0,5219
AirAsia India,Mumbai,Pune,Afternoon (12-18),Afternoon (12-18),non-stop,Economy,28,0.8,3109
Vistara,Jaipur,Delhi,Night (21-00),Night (21-00),1 stop,Economy,67,1.8,6316
Vistara,Kolkata,Mumbai,Early Morning (00-06),Early Morning (00-06),1 stop,Economy,6,3.0,7350
SpiceJet,Ahmedabad,Kolkata,Night (21-00),Early Morning (00-06),2+ stops,Economy,21,4.3,4353
Vistara,Ahmedabad,Pune,Early Morning (00-06),Early Morning (00-06),non-stop,Economy,40,1.5,7229
SpiceJet,Hyderabad,Pune,Early Morning (00-06),Early Morning (00-06),1 stop,Economy,62,2.3,4028
Air India,Bangalore,Kolkata,Morning (06-12),Morning (06-12),non-stop,Economy,20,2.6,10048
Air India,Kolkata,Chennai,Afternoon (12-18),Evening (18-21),2+ stops,Economy,3,4.9,8201
Air India,Chennai,Ahmedabad,Morning (06-12),Afternoon (12-18),2+ stops,Economy,2,4.9,7674
SpiceJet,Delhi,Kolkata,Evening (18-21),Night (21-00),2+ stops,Economy,75,4.9,5062
AirAsia India,Ahmedabad,Goa,Night (21-00),Night (21-00),non-stop,Economy,85,1.5,4654
AirAsia India,Goa,Hyderabad,Early Morning (00-06),Morning (06-12),2+ stops,Economy,40,4.8,4350
SpiceJet,Kolkata,Delhi,Early Morning (00-06),Early Morning (00-06),non-stop,Business,66,2.0,8291
SpiceJet,Pune,Bangalore,Afternoon (12-18),Afternoon (12-18),1 stop,Economy,64,3.0,4622
SpiceJet,Hyderabad,Pune,Early Morning (00-06),Early Morning (00-06),non-stop,Economy,55,0.8,3982
Air India,Goa,Chennai,Afternoon (12-18),Afternoon (12-18),1 stop,Economy,13,2.8,6716
GoFirst,Ahmedabad,Chennai,Night (21-00),Night (21-00),non-stop,Economy,2,1.4,5896
Vistara,Hyderabad,Kolkata,Evening (18-21),Night (21-00),non-stop,Business,38,2.0,14346
Air India,Goa,Ahmedabad,Morning (06-12),Morning (06-12),1 stop,Economy,60,2.9,7393
Vistara,Chennai,Jaipur,Night (21-00),Early Morning (00-06),1 stop,Economy,31,3.9,8736
GoFirst,Ahmedabad,Goa,Afternoon (12-18),Afternoon (12-18),1 stop,Economy,21,3.0,5293
IndiGo,Delhi,Pune,Afternoon (12-18),Evening (18-21),1 stop,Economy,73,3.3,6081
IndiGo,Chennai,Goa,Afternoon (12-18),Afternoon (12-18),non-stop,Economy,75,1.3,5461
SpiceJet,Mumbai,Delhi,Afternoon (12-18),Afternoon (12-18),non-stop,Business,54,2.0,11456
AirAsia India,Chennai,Jaipur,Early Morning (00-06),Early Morning (00-06),non-stop,Economy,22,2.6,5810
IndiGo,Pune,Delhi,Evening (18-21),Night (21-00),1 stop,Economy,86,4.0,5911
GoFirst,Pune,Bangalore,Afternoon (12-18),Afternoon (12-18),1 stop,Economy,30,3.2,4666
Air India,Delhi,Hyderabad,Morning (06-12),Morning (06-12),1 stop,Economy,38,3.2,8017
GoFirst,Pune,Ahmedabad,Afternoon (12-18),Afternoon (12-18),non-stop,Economy,34,1.4,5459
Vistara,Mumbai,Ahmedabad,Night (21-00),Night (21-00),non-stop,Economy,67,1.6,6902
GoFirst,Ahmedabad,Kolkata,Early Morning (00-06),Early Morning (00-06),1 stop,Economy,8,2.9,4706
AirAsia India,Ahmedabad,Hyderabad,Evening (18-21),Night (21-00),1 stop,Economy,55,2.6,5257
Air India,Delhi,Kolkata,Evening (18-21),Evening (18-21),non-stop,Business,67,1.5,13543
GoFirst,Chennai,Pune,Early Morning (00-06),Early Morning (00-06),non-stop,Economy,86,1.6,4954
AirAsia India,Ahmedabad,Pune,Early Morning (00-06),Early Morning (00-06),1 stop,Economy,9,3.4,4615
IndiGo,Kolkata,Pune,Afternoon (12-18),Afternoon (12-18),non-stop,Economy,29,2.2,6930
SpiceJet,Kolkata,Mumbai,Night (21-00),Early Morning (00-06),1 stop,Economy,34,3.3,4848
Air India,Pune,Chennai,Morning (06-12),Morning (06-12),non-stop,Economy,31,1.7,8338
Vistara,Jaipur,Chennai,Morning (06-12),Afternoon (12-18),2+ stops,Economy,62,5.6,8801
Vistara,Kolkata,Delhi,Afternoon (12-18),Afternoon (12-18),non-stop,Economy,29,1.6,8165
Vistara,Delhi,Ahmedabad,Afternoon (12-18),Evening (18-21),2+ stops,Economy,24,4.4,7188
IndiGo,Goa,Hyderabad,Evening (18-21),Evening (18-21),non-stop,Business,81,1.9,9959
Air India,Jaipur,Mumbai,Night (21-00),Night (21-00),non-stop,Economy,1,1.8,7613
Air India,Jaipur,Pune,Afternoon (12-18),Afternoon (12-18),1 stop,Economy,44,2.9,6758
SpiceJet,Delhi,Mumbai,Morning (06-12),Morning (06-12),1 stop,Economy,12,3.7,6882
GoFirst,Delhi,Ahmedabad,Night (21-00),Early Morning (00-06),1 stop,Business,25,3.0,7660
SpiceJet,Goa,Jaipur,Night (21-00),Early Morning (00-06),1 stop,Economy,16,3.1,4731
AirAsia India,Chennai,Ahmedabad,Early Morning (00-06),Early Morning (00-06),non-stop,Economy,59,1.4,4684
AirAsia India,Hyderabad,Ahmedabad,Afternoon (12-18),Afternoon (12-18),non-stop,Business,17,1.2,9368
Vistara,Mumbai,Hyderabad,Night (21-00),Early Morning (00-06),1 stop,Economy,87,2.9,6766
IndiGo,Hyderabad,Pune,Early Morning (00-06),Early Morning (00-06),1 stop,Economy,42,2.3,4453
SpiceJet,Goa,Mumbai,Afternoon (12-18),Evening (18-21),2+ stops,Economy,32,4.9,4722
Vistara,Jaipur,Goa,Evening (18-21),Night (21-00),1 stop,Economy,3,2.6,8201
Air India,Hyderabad,Mumbai,Night (21-00),Night (21-00),non-stop,Economy,79,1.0,6386
Vistara,Goa,Chennai,Night (21-00),Night (21-00),non-stop,Economy,39,1.8,7031
IndiGo,Pune,Hyderabad,Evening (18-21),Evening (18-21),non-stop,Business,63,0.9,7027
AirAsia India,Goa,Mumbai,Early Morning (00-06),Early Morning (00-06),non-stop,Economy,3,1.5,5346
AirAsia India,Pune,Delhi,Early Morning (00-06),Morning (06-12),2+ stops,Business,61,5.0,7705
Air India,Delhi,Jaipur,Afternoon (12-18),Afternoon (12-18),1 stop,Economy,89,2.2,5818
Air India,Jaipur,Ahmedabad,Afternoon (12-18),Afternoon (12-18),non-stop,Economy,67,1.1,6527
GoFirst,Mumbai,Jaipur,Evening (18-21),Evening (18-21),non-stop,Economy,5,1.4,6387
GoFirst,Chennai,Delhi,Morning (06-12),Morning (06-12),1 stop,Economy,58,3.3,5840
SpiceJet,Delhi,Pune,Afternoon (12-18),Evening (18-21),1 stop,Economy,59,3.6,6064
SpiceJet,Jaipur,Chennai,Morning (06-12),Morning (06-12),non-stop,Economy,60,2.7,7901
SpiceJet,Chennai,Ahmedabad,Morning (06-12),Morning (06-12),1 stop,Business,12,3.0,10527
IndiGo,Ahmedabad,Mumbai,Evening (18-21),Evening (18-21),non-stop,Economy,70,1.7,5766
Vistara,Chennai,Pune,Evening (18-21),Evening (18-21),non-stop,Economy,68,1.9,7955
AirAsia India,Delhi,Pune,Early Morning (00-06),Early Morning (00-06),non-stop,Economy,82,2.1,4845
GoFirst,Delhi,Pune,Afternoon (12-18),Afternoon (12-18),non-stop,Economy,46,2.1,6333
SpiceJet,Jaipur,Pune,Night (21-00),Early Morning (00-06),1 stop,Economy,2,2.8,5528
SpiceJet,Bangalore,Delhi,Evening (18-21),Evening (18-21),non-stop,Economy,47,1.8,5556
AirAsia India,Bangalore,Goa,Night (21-00),Early Morning (00-06),2+ stops,Economy,38,3.7,3595
IndiGo,Jaipur,Ahmedabad,Evening (18-21),Evening (18-21),1 stop,Economy,27,2.5,5089
SpiceJet,Mumbai,Chennai,Afternoon (12-18),Afternoon (12-18),1 stop,Economy,24,3.0,5231
AirAsia India,Jaipur,Pune,Early Morning (00-06),Early Morning (00-06),1 stop,Economy,9,2.9,4194
AirAsia India,Kolkata,Chennai,Night (21-00),Early Morning (00-06),1 stop,Economy,64,3.4,4850
Air India,Mumbai,Pune,Afternoon (12-18),Afternoon (12-18),1 stop,Business,41,1.7,5679
IndiGo,Delhi,Goa,Evening (18-21),Night (21-00),1 stop,Economy,32,4.4,7136
AirAsia India,Delhi,Chennai,Morning (06-12),Morning (06-12),non-stop,Economy,90,1.6,5583
Air India,Goa,Pune,Evening (18-21),Evening (18-21),non-stop,Economy,67,1.5,7489
IndiGo,Pune,Goa,Morning (06-12),Afternoon (12-18),2+ stops,Business,62,4.5,8619
SpiceJet,Hyderabad,Chennai,Morning (06-12),Morning (06-12),1 stop,Economy,41,2.4,4453
Air India,Kolkata,Ahmedabad,Evening (18-21),Evening (18-21),non-stop,Business,19,1.5,12083
SpiceJet,Mumbai,Pune,Morning (06-12),Morning (06-12),1 stop,Economy,56,1.7,3580
Air India,Bangalore,Hyderabad,Night (21-00),Night (21-00),non-stop,Economy,7,1.0,6266
Air India,Ahmedabad,Hyderabad,Night (21-00),Night (21-00),non-stop,Economy,20,2.0,6878
SpiceJet,Jaipur,Hyderabad,Morning (06-12),Morning (06-12),1 stop,Economy,66,3.5,5853
Air India,Bangalore,Hyderabad,Morning (06-12),Morning (06-12),2+ stops,Economy,18,4.1,6306
SpiceJet,Goa,Ahmedabad,Evening (18-21),Night (21-00),2+ stops,Economy,44,4.6,4515
GoFirst,Chennai,Pune,Night (21-00),Night (21-00),non-stop,Economy,14,1.2,5635
Air India,Pune,Kolkata,Early Morning (00-06),Early Morning (00-06),non-stop,Business,66,2.7,11745
Vistara,Pune,Bangalore,Morning (06-12),Morning (06-12),non-stop,Economy,1,1.6,8576
Vistara,Delhi,Goa,Evening (18-21),Night (21-00),non-stop,Economy,47,2.6,10076
IndiGo,Ahmedabad,Jaipur,Evening (18-21),Evening (18-21),1 stop,Economy,61,2.4,4757
Air India,Delhi,Ahmedabad,Afternoon (12-18),Afternoon (12-18),1 stop,Business,69,3.0,9583
Vistara,Goa,Hyderabad,Night (21-00),Early Morning (00-06),1 stop,Economy,89,3.1,6923
SpiceJet,Mumbai,Ahmedabad,Evening (18-21),Night (21-00),1 stop,Economy,45,2.8,5205
GoFirst,Delhi,Ahmedabad,Night (21-00),Night (21-00),non-stop,Business,86,1.6,7615
Air India,Goa,Mumbai,Morning (06-12),Morning (06-12),1 stop,Business,76,3.0,10935
Vistara,Delhi,Mumbai,Afternoon (12-18),Evening (18-21),2+ stops,Business,48,4.8,12036
Vistara,Mumbai,Bangalore,Early Morning (00-06),Early Morning (00-06),1 stop,Business,13,3.0,9933
IndiGo,Hyderabad,Mumbai,Night (21-00),Early Morning (00-06),1 stop,Business,19,3.0,7853
IndiGo,Pune,Bangalore,Night (21-00),Early Morning (00-06),1 stop,Economy,54,2.4,4996
IndiGo,Goa,Pune,Night (21-00),Night (21-00),non-stop,Economy,33,1.3,5044
Vistara,Kolkata,Bangalore,Morning (06-12),Morning (06-12),1 stop,Economy,85,4.2,9724
AirAsia India,Chennai,Goa,Evening (18-21),Evening (18-21),non-stop,Economy,79,1.8,5273
AirAsia India,Mumbai,Kolkata,Afternoon (12-18),Afternoon (12-18),non-stop,Economy,15,1.4,5160
Vistara,Chennai,Pune,Afternoon (12-18),Afternoon (12-18),non-stop,Economy,52,1.7,8040
Vistara,Bangalore,Jaipur,Morning (06-12),Morning (06-12),1 stop,Economy,49,4.0,10027
Vistara,Goa,Pune,Night (21-00),Night (21-00),non-stop,Economy,42,1.3,7279
AirAsia India,Delhi,Jaipur,Night (21-00),Night (21-00),1 stop,Business,22,1.9,4197
IndiGo,Goa,Jaipur,Morning (06-12),Morning (06-12),non-stop,Economy,42,1.4,6382
Air India,Chennai,Hyderabad,Morning (06-12),Morning (06-12),1 stop,Business,39,2.3,9247
Vistara,Goa,Delhi,Morning (06-12),Morning (06-12),non-stop,Economy,33,2.7,10665
GoFirst,Bangalore,Ahmedabad,Afternoon (12-18),Afternoon (12-18),non-stop,Economy,57,1.5,5473
SpiceJet,Pune,Chennai,Morning (06-12),Morning (06-12),non-stop,Economy,39,1.9,6238
Vistara,Goa,Kolkata,Morning (06-12),Afternoon (12-18),2+ stops,Economy,36,4.3,7224
SpiceJet,Kolkata,Goa,Evening (18-21),Evening (18-21),non-stop,Business,60,1.3,9819
GoFirst,Ahmedabad,Kolkata,Morning (06-12),Morning (06-12),1 stop,Economy,58,3.2,5434
Vistara,Mumbai,Pune,Early Morning (00-06),Early Morning (00-06),2+ stops,Economy,8,3.0,5721
GoFirst,Jaipur,Pune,Morning (06-12),Morning (06-12),non-stop,Economy,16,1.4,6109
AirAsia India,Pune,Bangalore,Night (21-00),Early Morning (00-06),1 stop,Economy,65,2.7,4383
AirAsia India,Kolkata,Mumbai,Early Morning (00-06),Early Morning (00-06),1 stop,Economy,14,2.9,4399
GoFirst,Mumbai,Goa,Night (21-00),Night (21-00),non-stop,Economy,65,1.3,4608
Air India,Hyderabad,Mumbai,Afternoon (12-18),Afternoon (12-18),1 stop,Economy,60,2.9,6793
IndiGo,Goa,Kolkata,Morning (06-12),Morning (06-12),1 stop,Economy,30,2.8,5962
Vistara,Jaipur,Chennai,Afternoon (12-18),Afternoon (12-18),non-stop,Economy,82,2.7,9326
Air India,Jaipur,Mumbai,Early Morning (00-06),Early Morning (00-06),1 stop,Economy,14,2.8,6667
SpiceJet,Jaipur,Kolkata,Early Morning (00-06),Early Morning (00-06),1 stop,Economy,21,2.9,4652
Vistara,Hyderabad,Mumbai,Night (21-00),Night (21-00),non-stop,Economy,43,1.7,7552
SpiceJet,Bangalore,Kolkata,Afternoon (12-18),Afternoon (12-18),non-stop,Economy,11,2.8,7945
IndiGo,Pune,Bangalore,Early Morning (00-06),Early Morning (00-06),non-stop,Economy,62,1.0,4558
Vistara,Delhi,Chennai,Evening (18-21),Night (21-00),2+ stops,Economy,52,4.5,6913
AirAsia India,Pune,Mumbai,Night (21-00),Early Morning (00-06),2+ stops,Economy,7,2.8,3779
GoFirst,Kolkata,Chennai,Morning (06-12),Morning (06-12),non-stop,Economy,79,2.3,6827
GoFirst,Delhi,Kolkata,Morning (06-12),Morning (06-12),non-stop,Business,82,1.6,12098
SpiceJet,Chennai,Hyderabad,Night (21-00),Night (21-00),1 stop,Economy,52,2.5,3943
SpiceJet,Jaipur,Hyderabad,Night (21-00),Early Morning (00-06),1 stop,Economy,13,3.3,5219
Air India,Delhi,Bangalore,Morning (06-12),Morning (06-12),non-stop,Economy,28,1.7,7975
SpiceJet,Kolkata,Jaipur,Early Morning (00-06),Early Morning (00-06),1 stop,Economy,88,2.9,4463
GoFirst,Ahmedabad,Goa,Afternoon (12-18),Afternoon (12-18),1 stop,Economy,24,3.1,5270
Air India,Hyderabad,Chennai,Afternoon (12-18),Afternoon (12-18),1 stop,Economy,58,2.5,6049
Air India,Kolkata,Delhi,Early Morning (00-06),Morning (06-12),2+ stops,Economy,67,4.9,6488
AirAsia India,Jaipur,Goa,Early Morning (00-06),Early Morning (00-06),1 stop,Economy,10,2.8,4666
Air India,Kolkata,Chennai,Evening (18-21),Evening (18-21),non-stop,Economy,17,1.7,8128
Vistara,Goa,Jaipur,Morning (06-12),Afternoon (12-18),2+ stops,Economy,85,4.4,7643
IndiGo,Ahmedabad,Chennai,Afternoon (12-18),Afternoon (12-18),1 stop,Economy,39,3.1,5227
GoFirst,Ahmedabad,Jaipur,Evening (18-21),Evening (18-21),non-stop,Economy,22,1.0,4892
SpiceJet,Mumbai,Hyderabad,Evening (18-21),Night (21-00),1 stop,Economy,61,3.1,5201
AirAsia India,Bangalore,Ahmedabad,Night (21-00),Night (21-00),non-stop,Economy,25,1.3,4904
Air India,Goa,Ahmedabad,Early Morning (00-06),Early Morning (00-06),1 stop,Business,4,3.0,10013
Air India,Mumbai,Goa,Morning (06-12),Morning (06-12),1 stop,Economy,27,2.7,7673
IndiGo,Hyderabad,Chennai,Morning (06-12),Morning (06-12),1 stop,Economy,81,2.6,5071
SpiceJet,Pune,Kolkata,Afternoon (12-18),Evening (18-21),2+ stops,Economy,4,5.5,6675
SpiceJet,Goa,Chennai,Night (21-00),Night (21-00),non-stop,Economy,74,1.0,4950
IndiGo,Hyderabad,Delhi,Evening (18-21),Night (21-00),1 stop,Economy,80,3.4,5443
AirAsia India,Ahmedabad,Mumbai,Morning (06-12),Morning (06-12),1 stop,Economy,19,2.8,5375
AirAsia India,Ahmedabad,Kolkata,Night (21-00),Early Morning (00-06),1 stop,Economy,48,2.7,4444
IndiGo,Pune,Delhi,Morning (06-12),Morning (06-12),non-stop,Economy,47,1.8,7696
Vistara,Hyderabad,Pune,Evening (18-21),Evening (18-21),non-stop,Economy,16,0.9,6664
Air India,Mumbai,Hyderabad,Night (21-00),Early Morning (00-06),1 stop,Economy,70,2.5,6388
GoFirst,Bangalore,Hyderabad,Morning (06-12),Morning (06-12),2+ stops,Business,37,3.3,6363
GoFirst,Hyderabad,Pune,Morning (06-12),Morning (06-12),non-stop,Economy,35,1.1,4738
AirAsia India,Jaipur,Kolkata,Evening (18-21),Evening (18-21),non-stop,Economy,84,1.5,5338
AirAsia India,Ahmedabad,Kolkata,Evening (18-21),Evening (18-21),non-stop,Economy,14,1.3,5643
AirAsia India,Goa,Jaipur,Night (21-00),Night (21-00),non-stop,Economy,56,1.5,4711
SpiceJet,Jaipur,Chennai,Evening (18-21),Night (21-00),non-stop,Economy,70,2.8,6962
GoFirst,Goa,Ahmedabad,Early Morning (00-06),Early Morning (00-06),1 stop,Business,69,2.8,7145
IndiGo,Bangalore,Hyderabad,Early Morning (00-06),Early Morning (00-06),2+ stops,Business,61,3.7,4981
AirAsia India,Pune,Delhi,Early Morning (00-06),Morning (06-12),2+ stops,Economy,28,4.9,5033
AirAsia India,Delhi,Mumbai,Morning (06-12),Morning (06-12),non-stop,Economy,65,1.8,6399
AirAsia India,Jaipur,Mumbai,Morning (06-12),Morning (06-12),1 stop,Economy,39,2.8,5390
AirAsia India,Goa,Bangalore,Afternoon (12-18),Afternoon (12-18),1 stop,Economy,7,2.3,4559
Vistara,Hyderabad,Pune,Night (21-00),Night (21-00),1 stop,Economy,14,2.2,6156
Air India,Goa,Delhi,Morning (06-12),Morning (06-12),non-stop,Economy,72,2.6,9369
SpiceJet,Kolkata,Ahmedabad,Evening (18-21),Night (21-00),1 stop,Economy,43,3.0,4816
Vistara,Jaipur,Hyderabad,Night (21-00),Early Morning (00-06),1 stop,Economy,47,2.7,7518
AirAsia India,Mumbai,Ahmedabad,Afternoon (12-18),Afternoon (12-18),non-stop,Business,40,1.9,9122
GoFirst,Chennai,Hyderabad,Afternoon (12-18),Evening (18-21),2+ stops,Economy,46,3.7,4332
AirAsia India,Mumbai,Chennai,Evening (18-21),Night (21-00),2+ stops,Economy,27,4.3,4674
Vistara,Jaipur,Hyderabad,Morning (06-12),Morning (06-12),non-stop,Economy,61,1.5,8249
AirAsia India,Mumbai,Pune,Afternoon (12-18),Afternoon (12-18),1 stop,Business,66,1.7,3975
GoFirst,Ahmedabad,Mumbai,Afternoon (12-18),Evening (18-21),2+ stops,Economy,21,4.3,5280
Air India,Jaipur,Bangalore,Morning (06-12),Morning (06-12),1 stop,Economy,48,4.5,9617
Vistara,Bangalore,Delhi,Evening (18-21),Night (21-00),1 stop,Economy,40,3.0,7203
IndiGo,Ahmedabad,Pune,Afternoon (12-18),Afternoon (12-18),1 stop,Economy,38,2.8,5351
IndiGo,Chennai,Kolkata,Evening (18-21),Night (21-00),2+ stops,Business,39,5.0,9858
AirAsia India,Pune,Mumbai,Evening (18-21),Evening (18-21),non-stop,Economy,19,0.8,3367
AirAsia India,Goa,Kolkata,Early Morning (00-06),Early Morning (00-06),non-stop,Business,42,1.6,7434
